#,Condition,Description,Listen,Title,_ext_links,_file_links,_source_page,_wiki_api,biome_category,game
35,* Pirate Invasion,Somewhat reminiscent of the ' soundtrack.,300px,Pirate Invasion,,['Music-Pirate Invasion.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
36,* The Underworld,"A deep and menacing track, with an emphasis on harsh percussion.",300px,Hell,,['Music-Underworld.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
37,* Martian Madness,"A loud, daunting track.",300px,Martian Madness,,['Music-Martian Madness.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
38,* Moon Lord,"A unique, intense track with a fast tempo. Reuses part of the The Towers and Space Night themes.",300px,Lunar Boss,,['Music-Moon Lord.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
39,* Goblin Army,It somewhat vaguely resembles the Pumpkin Moon theme.,300px,Goblin Invasion,,['Music-Goblin Army.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
40,* Sandstorm,A tense theme that uses a synth to simulate wind (along with actual wind sounds) as well as a sitar to give a sort of Egyptian desert feeling. Some parts of Boss 5 and The Towers can be heard.,300px,Sandstorm,,['Music-Sandstorm.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
41,* Old One's Army,"An intense theme, more orchestral than most other Terraria songs, which incorporates bits from the main theme of Dungeon Defenders as well as Terraria tracks Pirate Invasion, Title, Goblin Invasion, and Pumpkin Moon.",300px,Old One's Army,,"[""Music-Old One's Army.mp3""]",Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
42,"* Space, daytime",It has a slower and calmer feeling.,300px,Space Day,,['Music-Space Day.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
43,"* Ocean, night-time","This track is more active and bouncier than its daytime counterpart. It has a happy, peaceful sounding tone.",300px,Ocean Night,,['Music-Ocean Night.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
44,* Windy Day,"A perky, cheerful, whimsical track, inspired by .<ref> </ref> It includes instruments such as a music box, castanets, and a tambourine, and is one of the few tracks in the game to not be in  , rather it is in .",300px,Windy Day,,['Music-Windy Day.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
45,"* Windy Day
* Thunderstorm",The sounds of wind blowing past.,300px,Wind ambience,,['45 - Wind Ambiance.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
46,"* Town, daytime",A soothing track with a slight resemblance to Overworld Day.,300px,Town Day,,['Music-Town Day.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
47,"* Town, night-time",It starts quickly and then slows down to reveal a calm and enjoyable melody.,300px,Town Night,,['Music-Town Night.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
48,* Slime Rain,"A bouncy, slightly silly-sounding track. It contains motifs of the Ocean Night and Underground themes.",300px,Slime Rain,,['Music-Slime Rain.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
49,* Music Box-only (crafting),This hardstyle remix by Xenon and DSniper of the Overworld Day theme was the winning track of Terraria's 2013 music contest.<ref> </ref>,300px,Day Remix,,['Music-Contest Winner.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
50,* Title screen,"A triumphant, powerful track. On game launch and in the 1.4 trailer it features a ""whoom"" intro sound before looping into the standard Journey's Beginning track. It is also the first track to be heard by a new player.",300px,Journey's Beginning,,"[""Music-Journey's Beginning (intro).mp3""]",Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
51,* Title screen,"A triumphant, powerful track that lacks the ""whoom"" intro sound.",300px,Journey's Beginning,,"[""Music-Journey's Beginning.mp3""]",Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
52,* Thunderstorm,"It sounds harsh and threatening, and has a slight resemblance to the Old One's Army and Sandstorm tracks.",300px,Storm,,['Music-Storm.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
53,* Graveyard,"A dark, depressing spin on the Town themes.",300px,Graveyard,,['Music-Graveyard.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
54,* Underground Jungle,Significantly less whimsical than the surface Jungle track and sounds more threatening and melancholic.,300px,Underground Jungle,,['Music-Underground Jungle.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
55,"* Jungle, surface, night-time","It sounds very different from the day theme, with the main melody being a slow, ominous beat with an emphasis on deep drums.",300px,Jungle Night,,['Music-Surface Night Jungle.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
56,* Queen Slime,"It begins with a regal and celebratory style, before turning into something more sinister and methodical. It contains a motif of Jungle Night.",300px,Queen Slime,,['Music-Queen Slime.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
57,* Empress of Light,"It begins as a fast, extremely intense track similar to Boss 2, before changing to a slower tune. The entire track has a very chaotic feel and sounds unlike anything else in Terraria. Uniquely, this track features a second loop with different composition, before completely looping.",300px,Empress of Light,,['Music-Empress of Light.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
58,* Duke Fishron,"A slow theme with bubbling sounds and a pirate-like feel, in stark contrast with the fast-paced and chaotic fight it accompanies.",300px,Duke Fishron,,['Music-Duke Fishron.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
59,"* Rain, between  and","Very similar to the Overworld Day theme, but is significantly more extravagant and jolly, like one is about to embark on an adventure. This also used to be the old tutorial theme.",300px,Morning Rain,,['Music-Morning Rain.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
60,"* Drunk world generation
* Title screen","An extended variation of the Title track, with more instruments and expression.",300px,Alt Title,,['Music-Title (Console).mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
61,* Underground Desert,"It begins as a slow, mysterious theme featuring strings and low tones, before it transitions into a rock-style theme, with guitars and heavy drums, similar to the Plantera track.",300px,Underground Desert,,['Music-Underground Desert.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
62,"* Rain, daytime
* Thunderstorm",An atmospheric track with light piano sounds that brings the image of falling rain.,300px,Rain (Otherworldly),,['Music-Rain (Otherworldly).mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
63,"* Forest, daytime","A celebratory, almost victoriously sounding track which features instruments like Irish flute for a fantasy feeling.",300px,Overworld Day (Otherworldly),,['Music-Forest Day (Otherworldly).mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
64,"* Forest, night-time
* Rain, night-time
* The Hallow, night-time","It is an ominous, at times frantic track that gives a sense of impending danger.",300px,Night (Otherworldly),,['Music-Forest Night (Otherworldly).mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
65,"* Underground
* Cavern","A heroic-sounding track which features violin. Its internal name is ""Music-Main Theme (Underground)"" which suggests it was meant as a title screen track, which in turn fits with its grand intro.",300px,Underground (Otherworldly),,['Music-Main Theme (Underground) (Otherworldly).mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
66,"* Desert
* Sandstorm
* Underground Desert","It begins with dobro (or similarly sounding instrument) for a Wild West feeling, along with occasional heartbeats. It continues with Irish flute for a fantasy feeling, and ends with subtle female vocals.",300px,Desert (Otherworldly),,['Music-Desert (Otherworldly).mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
67,* Ocean,An ambient-like track which incorporates pan flute music to produce the image of distant shores.,300px,Ocean (Otherworldly),,['Music-Ocean (Otherworldly).mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
68,* Glowing Mushroom biome,"It resembles a more tranquil version of the regular Mushrooms track. Its internal name is ""Music-Crystal Caves (Mushrooms)"" which suggests it would also play in some Gemstone cave-like biome.",300px,Mushrooms (Otherworldly),,['Music-Crystal Caves (Mushrooms) (Otherworldly).mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
69,"* Dungeon
* Jungle Temple",It is a melancholic and ritualistic-feeling track which features chanting and tribal-like drums.,300px,Dungeon (Otherworldly),,['Music-Dungeon (Otherworldly).mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
70,"* Space
* Zenith world generation","An ambient track which subtly features ""psychedelic"" sounds for a sci-fi feeling and gradually grows to a heroic sound.",300px,Space (Otherworldly),,['Music-Space (Otherworldly).mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
71,* The Underworld,"Dark, aggressive, and features harpsichord music for a ""haunted house"" feeling.",300px,Underworld (Otherworldly),,['Music-Underworld (Otherworldly).mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
72,"* Snow biome
* The Aether",A calm and relaxing track which shifts between what resembles uplifting trance music and fantasy music.,300px,Snow (Otherworldly),,['Music-Arctic (Snow) (Otherworldly).mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
73,* The Corruption (surface),"It is a dark, undulating track which features downtempo rock music.",300px,Corruption (Otherworldly),,['Music-Corruption (Otherworldly).mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
74,* Underground Corruption,"Resembles its Otherworldly surface counterpart, but is somewhat more aggressive.",300px,Underground Corruption (Otherworldly),,['Music-Underground Corruption (Otherworldly).mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
75,* The Crimson (surface),"A dark, ambient track which seems to feature some type of contrabass brass instrument for a ""gloomy"" feeling and eventually becomes almost psychedelic-sounding.",300px,Crimson (Otherworldly),,['Music-Crimson (Otherworldly).mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
76,* Underground Crimson,A brooding and increasingly frantic track.,300px,Underground Crimson (Otherworldly),,['Music-Underground Crimson (Otherworldly).mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
77,* Ice biome,"It has a ""crystalline"" and rather ominous sound to it.",300px,Ice (Otherworldly),,['Music-Ice (Otherworldly).mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
78,* Underground Hallow,A sinister track that seems to involve different percussion instruments as well as a music box styled instrumentation to evoke a sense of sinister whimsy.,300px,Underground Hallow (Otherworldly),,['Music-Underground Hallow (Otherworldly).mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
79,"* Blood Moon
* Graveyard
* Meteorite
* Solar Eclipse",An almost doomsday-like track which features female hymns and what seems like electric guitar.,300px,Eerie (Otherworldly),,['Music-Eerie (Otherworldly).mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
80,"* Deerclops
* Duke Fishron
* Empress of Light
* Golem
* Lunatic Cultist
* Queen Slime
* Skeletron Prime
* The Destroyer
* The Twins","Almost explodes at start and immediately drops in order to gradually rise in intensity, followed by male and female chants.",300px,Boss 2 (Otherworldly),,['Music-Boss 2 (Otherworldly).mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
81,"* Brain of Cthulhu
* Eater of Worlds
* Eye of Cthulhu
* King Slime
* Mechdusa
* Queen Bee
* Skeletron","Somewhat resembles the regular Old One's Army track, but with a darker feeling.",300px,Boss 1 (Otherworldly),,['Music-Boss 1 (Otherworldly).mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
82,"* Frost Legion
* Frost Moon
* Goblin Army
* Martian Madness
* Old One's Army
* Pirate Invasion
* Pumpkin Moon","A menacing, ""rapid"" track which gives a sense of running out of time.",300px,Invasion (Otherworldly),,['Music-Invasion (Otherworldly).mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
83,* Lunar Events,"Somewhat heroic-sounding, and features chanting as well as ample amounts of electric guitar.",300px,The Towers (Otherworldly),,['Music-The Towers (Otherworldly).mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
84,* Moon Lord,"Resembles The Towers track but has more chanting and feels even more dramatic, as is appropriate with the Moon Lord appearing after the Lunar Events.",300px,Lunar Boss (Otherworldly),,['Music-Lunar Boss (Otherworldly).mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
85,* Plantera,"A metal-like track with a sinister and somewhat gloomy feeling, appropriate for the fight against Plantera in the Underground Jungle.",300px,Plantera (Otherworldly),,['Music-Plantera (Otherworldly).mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
86,"* Jungle
* Underground Jungle","A surprisingly tranquil track which seems to feature hurdy-gurdy music towards its end. The extended, enhanced version sold as part of the official Otherworld soundtrack is titled ""Sky Guardian"" (another name for the Wyvern) which suggests it was meant to play on Floating Islands or similar instead.",300px,Jungle (Otherworldly),,['Music-Jungle (Otherworldly).mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
87,"* The Torch God
* Wall of Flesh",It is a dramatic and at times also heroic-sounding track.,300px,Wall of Flesh (Otherworldly),,['Music-Wall of Flesh (Otherworldly).mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
88,"* The Hallow (surface), daytime","A track which features angelic, hymn-like female vocals followed by calm piano music. It is the only in-game Otherworld track longer than 2 minutes.",300px,Hallow (Otherworldly),,['Music-Hallow (Otherworldly).mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
89,* Credits,"A heroic, celebratory track, fit for the theme heard just after beating the Moon Lord. It includes short bits from several other tracks.",300px,Journey's End,,"[""Music-Journey's End.mp3""]",Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
90,* Deerclops,"Arranged by . It is an upbeat, electronic remix of ""The E.F.S. Of Winter"" from Don't Starve Together. E.F.S. stands for Epic Fight Song.",300px,Deerclops,,['Music-Deerclops.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
91,* The Aether,"Ethereal, surreal, and yet calming track that bears a similarity to the Space tracks, fitting for the location the track plays in.",300px,Aether,,['Music-Aether.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
92,* The Destroyer,"A rough, grungy track filled with crunchy instruments and percussion.",300px,The Destroyer,,['Music-The Destroyer.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
93,* King Slime,Grand and bouncy track with a swing tempo that expresses mediocrity in the king's difficulty.,300px,King Slime,,['Music-King Slime.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
94,* Lunatic Cultist,"A subdued, ominous, yet fast-paced track with a synthesized orchestra, percussion, and choir voices, similar to the Lunatic Cultist's own vocalizations.",300px,Lunatic Cultist,,['Music-Lunatic Cultist.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
95,* Music Box-only (Shimmer transmutation),,300px,Alt Queen Bee,,['Music-Alternate Queen Bee.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
96,* Queen Bee,"A fast and frenetic barrage of staccato percussion and synth, emulating the sound of harsh, buzzing bugs.",300px,Queen Bee,,['Music-Queen Bee.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
97,* The Twins,"An ominous and intense composition that creates the impression of emptiness, as if the player is being closely watched.",300px,The Twins,,['Music-The Twins.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
98,* Skeletron Prime,A dramatic metal track with Reese instruments.,300px,Skeletron Prime,,['Music-Skeletron Prime.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
99,* Eater of Worlds,"A spacious, yet exhilarating spree of exotic noises and dissonance of synth and strings.",300px,Eater of Worlds,,['Music-Eater of Worlds.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
100,* Music Box-only (Shimmer transmutation),"This track is an edit of the song ""NosferVentrue"" by Prosthetic Orchestra.<ref>[https://www.youtube.com/watch?v=RqATB8iLdhA ""NosferVentrue"" on YouTube]</ref>

<poem style=""line-height: 1.3em"">
He'll feast upon you as if you were a drug
A popular narcotic for the rest of today
Just remember, he will be watching you
for the day you learn to turn on him

He says you cannot resist
because of all the strings are in the hands of my being
When your mind turns to waste
for the favor of fire is here to stay

What am I?
What am I?
What am I?
I am The Torch God!
What am I?
What am I?
What am I?
I am The Torch God!

Here is the carbon copy corpse 
Changed to revive and distort
Kept alive to influence the flames
Immortal blood and all of the pain 

He says he cannot resist
because of all the strings are in my hands of my being
What the fire burns away
the favour of fire is laid to waste 

What am I?
What am I?
What am I?
I am The Torch God!
What am I?
What am I?
What am I?
I am The Torch God!

He likes what's you think
Switch the missing link
The flesh is still decaying
But success is awaiting

All see the will and the lyre
in facet is a favor with such desire 
He'll feast upon you as if you were a drug
A popular narcotic for the rest of today
When your kind turns to waste
the favor of fire is here to stay

I am The Torch God!
</poem>",300px,Alt Torch God,['https://www.youtube.com/watch?v=RqATB8iLdhA'],['Music-Alternate Torch God.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
101,* The Torch God,An instrumental version of Alt Torch God.,300px,Torch God,,['Music-Torch God.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
102,* Rainbow Boulder,"A short, pumping, techno track that opens with a riser sound.",300px,Rainbow Boulder,,['Music-Rainbow Boulder (intro).mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
103,* Rainbow Boulder,"Same as above, but without the riser intro.",300px,Rainbow Boulder,,['Music-Rainbow Boulder (loop).mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
104,* Skeletron,"It vaguely resembles the composition of the Lunatic Cultist. Lighter and simpler, but retaining the theme of the mystical Middle Ages.",300px,Skeletron,,['Music-Skeletron.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
